	nonstereo_aromatic_smiles	accession	standard_type	organism	pPot	standard_value	chembl_cid	chembl_tid	is_MT
189408	CS(=O)(=O)NCc1cccc(-c2cc(-c3ccnn3C3CCOCC3)c3c(N)ncnn23)c1	O00329	IC50	Homo sapiens	8.0	10.0	CHEMBL4474793	CHEMBL3130	False
189421	CS(=O)(=O)Nc1cc(-c2ccc3ccncc3c2)cnc1Cl	O00329	IC50	Homo sapiens	6.799998134593397	158.49	CHEMBL4438305	CHEMBL3130	True
189425	CS(=O)(=O)Nc1cc(-c2ccc3cn[nH]c3c2)cnc1Cl	O00329	IC50	Homo sapiens	6.399996913372259	398.11	CHEMBL4437969	CHEMBL3130	True
189429	CS(=O)(=O)Nc1cc(-c2ccncc2)cnc1Cl	O00329	IC50	Homo sapiens	6.5999976540720455	251.19	CHEMBL4474208	CHEMBL3130	True
189433	CS(=O)(=O)Nc1cc(-c2cnc(N)nc2)cnc1Cl	O00329	IC50	Homo sapiens	6.900008766455318	125.89	CHEMBL4462877	CHEMBL3130	True
189443	CS(=O)(=O)Nc1cc(C2=CCOCC2)cnc1Cl	O00329	IC50	Homo sapiens	6.900008766455318	125.89	CHEMBL4476588	CHEMBL3130	True
189681	CS(=O)(=O)Nc1cccc(-c2ccc3nc(NC(=O)C4CCCCC4)nn3c2)c1	O00329	IC50	Homo sapiens	6.299997602857746	501.19	CHEMBL2064502	CHEMBL3130	True
191165	CS(=O)(=O)c1cncc(-c2ccc3nc(N)nn3c2)c1	O00329	IC50	Homo sapiens	5.200000237109354	6309.57	CHEMBL2059908	CHEMBL3130	True
191167	CS(=O)(=O)c1cncc(-c2ccc3nc(N)sc3c2)c1	O00329	IC50	Homo sapiens	6.499996931948306	316.23	CHEMBL3600699	CHEMBL3130	True
194604	Cc1c(-c2ccccc2)nc2ccccc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21	O00329	IC50	Homo sapiens	7.040958607678906	91.0	CHEMBL2171934	CHEMBL3130	True
194606	Cc1c(-c2ccccc2)nc2ccccc2c1N1CC2(CCOCC2)c2ccc(N3CCOCC3)cc21	O00329	IC50	Homo sapiens	7.1938200260161125	64.0	CHEMBL2171922	CHEMBL3130	True
194653	Cc1c(-c2ccccc2F)nc2ccccc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21	O00329	IC50	Homo sapiens	6.293282217663242	509.0	CHEMBL2171935	CHEMBL3130	True
194673	Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21	O00329	IC50	Homo sapiens	7.1191864077192095	76.0	CHEMBL2171918	CHEMBL3130	True
194679	Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC(C)(C)c2ncc(-c3ccnc(N)n3)cc21	O00329	IC50	Homo sapiens	8.397940008672037	4.0	CHEMBL2171930	CHEMBL3130	True
194684	Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC(C)(C)c2ncc(N3CCOCC3)cc21	O00329	IC50	Homo sapiens	8.221848749616356	6.0	CHEMBL2171929	CHEMBL3130	True
194688	Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2ccc(N3CCOCC3)cc21	O00329	IC50	Homo sapiens	6.896196279044043	127.0	CHEMBL2171923	CHEMBL3130	True
194694	Cc1c(-c2ccccn2)nc2cc(F)ccc2c1N1CC2(CCOCC2)c2ncc(N3CCOCC3)cc21	O00329	IC50	Homo sapiens	8.045757490560675	9.0	CHEMBL2171931	CHEMBL3130	True
194700	Cc1c(-c2ccccn2)nc2cccc(F)c2c1N1CC(C)(C)c2ccc(N3CCOCC3)cc21	O00329	IC50	Homo sapiens	6.580044251510242	263.0	CHEMBL2171919	CHEMBL3130	True
196828	Cc1c(CN2CCN(C(=O)C(C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12	O00329	IC50	Homo sapiens	8.004386962153752	10.5	CHEMBL1921986_CHEMBL1922094	CHEMBL3130	True
196829	Cc1c(CN2CCN(C(=O)C(C)O)CC2)sc2c(N3CCOCC3)nc(-c3cnc(N)nc3)nc12	O00329	Kd	Homo sapiens	8.481486060122112	3.3	CHEMBL1922094	CHEMBL3130	True
196908	Cc1c(Cc2c(CN(C)CCS(C)(=O)=O)nc3c(N)cc(N4CCOCC4)nn23)cccc1C(F)(F)F	O00329	Kd	Homo sapiens	6.2898826348881824	513.0	CHEMBL3897548	CHEMBL3130	True
196911	Cc1c(Cc2c(CNCCS(C)(=O)=O)nc3c(N)cc(N4CCOCC4)nn23)cccc1C(F)(F)F	O00329	Kd	Homo sapiens	6.7495799976911055	178.0	CHEMBL3916621	CHEMBL3130	True
